,data,time_casa,time_visitante,resultado,id_partida,link
243,24/09/2017 16:00h,Fluminense,Palmeiras,0-1,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/fluminense/palmeiras/2419206/1/live
244,24/09/2017 16:00h,Coritiba,Botafogo,2-3,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/coritiba/botafogo/2419211/1/live
245,24/09/2017 16:00h,Atlético GO,Cruzeiro,1-2,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/atletico-go/cruzeiro/2419214/1/live
246,24/09/2017 16:00h,Chapecoense,Ponte Preta,1-0,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/chapecoense/ponte-preta/2419215/1/live
247,24/09/2017 19:00h,Atlético MG,Vitória,1-3,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/atletico-mg/vitoria/2419210/1/live
248,24/09/2017 19:00h,Bahia,Grêmio,1-0,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/bahia/gremio/2419213/1/live
249,25/09/2017 20:00h,Sport,Vasco,1-1,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/sport/vasco/2419212/1/live
250,30/09/2017 16:00h,Vasco,Chapecoense,1-1,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/vasco/chapecoense/2419217/1/live
251,30/09/2017 16:00h,Bahia,Coritiba,1-1,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/bahia/coritiba/2419223/1/live
252,30/09/2017 19:00h,Palmeiras,Santos,0-1,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/palmeiras/santos/2419218/1/live
